A	B	C	D	term
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K24954	ooxA; octopine oxidase subunit A
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K24955	ooxB; octopine oxidase subunit B
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K00934	E2.7.3.3; arginine kinase [EC:2.7.3.3]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K13240	NOS1; nitric-oxide synthase, brain [EC:1.14.13.39]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K13241	NOS2; nitric-oxide synthase, inducible [EC:1.14.13.39]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K13242	NOS3; nitric-oxide synthase, endothelial [EC:1.14.13.39]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K13427	NOA1; nitric-oxide synthase, plant [EC:1.14.13.39]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K00491	nos; nitric-oxide synthase, bacterial [EC:1.14.14.47]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K27542	argZ; arginine dihydrolase / ornithine cyclodeaminase [EC:3.5.3.27 4.3.1.12]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K27545	argZ; arginine dihydrolase [EC:3.5.3.27]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K01476	rocF, arg; arginase [EC:3.5.3.1]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K00819	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K00286	proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K00318	PRODH, fadM, putB; proline dehydrogenase [EC:1.5.5.2]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K13821	putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K01750	ocd; ornithine cyclodeaminase [EC:4.3.1.12]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K28013	E4.3.1.12; ornithine cyclodeaminase [EC:4.3.1.12]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K00294	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K00931	proB; glutamate 5-kinase [EC:2.7.2.11]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K12657	ALDH18A1, P5CS; delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K22842	MRP; L-glutamate-5-semialdehyde N-acetyltransferase [EC:2.3.1.271]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K01259	pip; proline iminopeptidase [EC:3.4.11.5]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K11142	LAP3; cytosol aminopeptidase [EC:3.4.11.1 3.4.11.5]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K00472	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K23121	pflD; trans-4-hydroxy-L-proline dehydratase [EC:4.2.1.172]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K11394	PRODH2; hydroxyproline dehydrogenase [EC:1.5.5.3]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K14454	GOT1; aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K14455	GOT2; aspartate aminotransferase, mitochondrial [EC:2.6.1.1]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K00811	ASP5; aspartate aminotransferase, chloroplastic [EC:2.6.1.1]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K00812	aspB; aspartate aminotransferase [EC:2.6.1.1]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K00813	aspC; aspartate aminotransferase [EC:2.6.1.1]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K11358	yhdR; aspartate aminotransferase [EC:2.6.1.1]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K00824	dat; D-alanine transaminase [EC:2.6.1.21]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K18123	HOGA1; 4-hydroxy-2-oxoglutarate aldolase [EC:4.1.3.16]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K01777	prdF; proline racemase [EC:5.1.1.4]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K21672	ord; 2,4-diaminopentanoate dehydrogenase [EC:1.4.1.12 1.4.1.26]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K10793	prdA; D-proline reductase (dithiol) PrdA [EC:1.21.4.1]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K10794	prdB; D-proline reductase (dithiol) PrdB [EC:1.21.4.1]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K00273	DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K17851	dpd; D-proline dehydrogenase [EC:1.5.99.13]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K18384	L3HYPDH; trans-L-3-hydroxyproline dehydratase [EC:4.2.1.77]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K22548	lhpL; trans-L-3-hydroxyproline dehydratase [EC:4.2.1.77]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K21624	c3lhypd; cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K09123	lhpI; cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K19743	lhpI; 1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase [NAD(P)H] [EC:1.5.1.1]
Metabolism	Amino acid metabolism	Arginine and proline metabolism	K19742	lhpI; 1-pyrroline-2-carboxylate reductase [NAD(P)H] [EC:1.5.1.49]
Metabolism	Amino acid metabolism	Histidine metabolism	K00765	hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]
Metabolism	Amino acid metabolism	Histidine metabolism	K02502	hisZ; ATP phosphoribosyltransferase regulatory subunit
Metabolism	Amino acid metabolism	Histidine metabolism	K01523	hisE; phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]
Metabolism	Amino acid metabolism	Histidine metabolism	K01496	hisI; phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]
Metabolism	Amino acid metabolism	Histidine metabolism	K11755	hisIE; phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase [EC:3.5.4.19 3.6.1.31]
Metabolism	Amino acid metabolism	Histidine metabolism	K14152	HIS4; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase / histidinol dehydrogenase [EC:3.6.1.31 3.5.4.19 1.1.1.23]
Metabolism	Amino acid metabolism	Histidine metabolism	K01814	hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]
Metabolism	Amino acid metabolism	Histidine metabolism	K24017	priA; phosphoribosyl isomerase A [EC:5.3.1.16 5.3.1.24]
Metabolism	Amino acid metabolism	Histidine metabolism	K02501	hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]
Metabolism	Amino acid metabolism	Histidine metabolism	K02500	hisF; imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]
Metabolism	Amino acid metabolism	Histidine metabolism	K01663	HIS7; imidazole glycerol-phosphate synthase [EC:4.3.2.10]
Metabolism	Amino acid metabolism	Histidine metabolism	K01693	hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]
Metabolism	Amino acid metabolism	Histidine metabolism	K01089	hisB; imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]
Metabolism	Amino acid metabolism	Histidine metabolism	K00817	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]
Metabolism	Amino acid metabolism	Histidine metabolism	K05602	hisN; histidinol-phosphatase [EC:3.1.3.15]
Metabolism	Amino acid metabolism	Histidine metabolism	K04486	E3.1.3.15B; histidinol-phosphatase (PHP family) [EC:3.1.3.15]
Metabolism	Amino acid metabolism	Histidine metabolism	K18649	IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]
Metabolism	Amino acid metabolism	Histidine metabolism	K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]
Metabolism	Amino acid metabolism	Histidine metabolism	K01745	hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]
Metabolism	Amino acid metabolism	Histidine metabolism	K01712	hutU, UROC1; urocanate hydratase [EC:4.2.1.49]
Metabolism	Amino acid metabolism	Histidine metabolism	K01468	hutI, AMDHD1; imidazolonepropionase [EC:3.5.2.7]
Metabolism	Amino acid metabolism	Histidine metabolism	K01479	hutG; formiminoglutamase [EC:3.5.3.8]
Metabolism	Amino acid metabolism	Histidine metabolism	K00603	fctD; glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]
Metabolism	Amino acid metabolism	Histidine metabolism	K13990	FTCD; glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase [EC:2.1.2.5 4.3.1.4]
Metabolism	Amino acid metabolism	Histidine metabolism	K05603	hutF; formimidoylglutamate deiminase [EC:3.5.3.13]
Metabolism	Amino acid metabolism	Histidine metabolism	K01458	hutG; N-formylglutamate deformylase [EC:3.5.1.68]
Metabolism	Amino acid metabolism	Histidine metabolism	K17363	urdA; urocanate reductase [EC:1.3.99.33]
Metabolism	Amino acid metabolism	Histidine metabolism	K01590	hdc, HDC; histidine decarboxylase [EC:4.1.1.22]
Metabolism	Amino acid metabolism	Histidine metabolism	K11182	AOC1, ABP1; diamine oxidase [EC:1.4.3.22]
Metabolism	Amino acid metabolism	Histidine metabolism	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
Metabolism	Amino acid metabolism	Histidine metabolism	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]
Metabolism	Amino acid metabolism	Histidine metabolism	K00149	ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
Metabolism	Amino acid metabolism	Histidine metabolism	K01437	ASPA, aspA; aspartoacylase [EC:3.5.1.15]
Metabolism	Amino acid metabolism	Histidine metabolism	K00546	HNMT; histamine N-methyltransferase [EC:2.1.1.8]
Metabolism	Amino acid metabolism	Histidine metabolism	K00274	MAO, aofH; monoamine oxidase [EC:1.4.3.4]
Metabolism	Amino acid metabolism	Histidine metabolism	K00129	ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
Metabolism	Amino acid metabolism	Histidine metabolism	K14755	CRNS1, ATPGD1; carnosine synthase [EC:6.3.2.11]
Metabolism	Amino acid metabolism	Histidine metabolism	K19787	CARNMT1; carnosine N-methyltransferase [EC:2.1.1.22]
Metabolism	Amino acid metabolism	Histidine metabolism	K22437	E2.1.1.22; carnosine N-methyltransferase [EC:2.1.1.22]
Metabolism	Amino acid metabolism	Histidine metabolism	K08660	CNDP2; cytosolic nonspecific dipeptidase [EC:3.4.13.18]
Metabolism	Amino acid metabolism	Histidine metabolism	K05604	CNDP1; beta-Ala-His dipeptidase [EC:3.4.13.20]
Metabolism	Amino acid metabolism	Histidine metabolism	K20246	EGT1; L-histidine Nalpha-methyltransferase / hercynylcysteine S-oxide synthase [EC:2.1.1.44 1.21.3.10]
Metabolism	Amino acid metabolism	Histidine metabolism	K18911	egtD; L-histidine Nalpha-methyltransferase [EC:2.1.1.44]
Metabolism	Amino acid metabolism	Histidine metabolism	K18912	egtB; gamma-glutamyl hercynylcysteine S-oxide synthase [EC:1.14.99.50]
Metabolism	Amino acid metabolism	Histidine metabolism	K07008	egtC; gamma-glutamyl hercynylcysteine S-oxide hydrolase [EC:3.5.1.118]
Metabolism	Amino acid metabolism	Histidine metabolism	K20247	EGT2; hercynylcysteine S-oxide lyase [EC:4.4.1.36]
Metabolism	Amino acid metabolism	Histidine metabolism	K18913	egtE; hercynylcysteine S-oxide lyase [EC:4.4.1.36]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K14454	GOT1; aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K14455	GOT2; aspartate aminotransferase, mitochondrial [EC:2.6.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00811	ASP5; aspartate aminotransferase, chloroplastic [EC:2.6.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00812	aspB; aspartate aminotransferase [EC:2.6.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00813	aspC; aspartate aminotransferase [EC:2.6.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K11358	yhdR; aspartate aminotransferase [EC:2.6.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K15849	PAT, AAT; bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase [EC:2.6.1.1 2.6.1.78 2.6.1.79]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00815	TAT; tyrosine aminotransferase [EC:2.6.1.5]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00817	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00832	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00838	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K05821	ARO9; aromatic amino acid aminotransferase II [EC:2.6.1.58 2.6.1.28]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00270	pdh; phenylalanine dehydrogenase [EC:1.4.1.20]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K03334	IL4I1; L-amino-acid oxidase [EC:1.4.3.2]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00457	HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00451	HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K01800	maiA, GSTZ1; maleylacetoacetate isomerase [EC:5.2.1.2]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K01555	FAH, fahA; fumarylacetoacetase [EC:3.7.1.2]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K16171	faaH; fumarylacetoacetate (FAA) hydrolase [EC:3.7.1.2]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00422	E1.10.3.1; polyphenol oxidase [EC:1.10.3.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00505	TYR; tyrosinase [EC:1.14.18.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00501	TH; tyrosine 3-monooxygenase [EC:1.14.16.2]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K24287	lmbB2; L-tyrosine peroxygenase [EC:1.11.2.6]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K01827	DCT; dopachrome tautomerase [EC:5.3.3.12]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K22203	DCE; dopachrome tautomerase [EC:5.3.3.12]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00506	TYRP1; tyrosinase-related protein 1 [EC:1.14.18.-]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K22329	TDC-1; tyrosine decarboxylase [EC:4.1.1.25]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K01592	TYDC; tyrosine decarboxylase [EC:4.1.1.25]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K22330	tyrDC; tyrosine decarboxylase [EC:4.1.1.25]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K18933	mfnA, adc; tyrosine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.25 4.1.1.11]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K01593	DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00503	DBH; dopamine beta-monooxygenase [EC:1.14.17.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00553	PNMT; phenylethanolamine N-methyltransferase [EC:2.1.1.28]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00545	COMT; catechol O-methyltransferase [EC:2.1.1.6]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00274	MAO, aofH; monoamine oxidase [EC:1.4.3.4]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00276	AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K13371	aauA; aralkylamine dehydrogenase light chain [EC:1.4.9.2]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K13372	aauB; aralkylamine dehydrogenase heavy chain [EC:1.4.9.2]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K25271	tynA; tyramine oxidase subunit A [EC:1.4.3.-]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K25272	tynB; tyramine oxidase subunit B [EC:1.4.3.-]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K01618	E4.1.1.107; 3,4-dihydroxyphenylacetaldehyde synthase [EC:4.1.1.107]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00129	ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00146	feaB, tynC; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K13951	ADH1_7; alcohol dehydrogenase 1/7 [EC:1.1.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K13980	ADH4; alcohol dehydrogenase 4 [EC:1.1.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K13952	ADH6; alcohol dehydrogenase 6 [EC:1.1.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K04072	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K13953	adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K13954	yiaY; alcohol dehydrogenase [EC:1.1.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K18857	ADH1; alcohol dehydrogenase class-P [EC:1.1.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K22327	TYRDC-2; 4-hydroxyphenylacetaldehyde synthase [EC:4.1.1.108]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00483	hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K23492	C2-hpah; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K16901	K16901; anthranilate 3-monooxygenase (FAD) / 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.8 1.14.14.9]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00484	hpaC; flavin reductase (NADH) [EC:1.5.1.36]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K23470	C1-hpah; 4-hydroxyphenylacetate 3-hydroxylase, reductase component [EC:1.5.1.36]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K16902	E1.5.1.45; FAD reductase [NAD(P)H] [EC:1.5.1.45]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00455	hpaD, hpcB; 3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00151	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K10219	ligC; 2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase [EC:1.1.1.312]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K01826	hpaF, hpcD; 5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K05921	hpaG; 5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K02510	hpaI, hpcH; 4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K01668	E4.1.99.2; tyrosine phenol-lyase [EC:4.1.99.2]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K10774	E4.3.1.23; tyrosine ammonia-lyase [EC:4.3.1.23]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00431	TPO; thyroid peroxidase [EC:1.11.1.8]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00055	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00157	AOX; aldehyde oxidase [EC:1.2.3.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K00450	E1.13.11.4; gentisate 1,2-dioxygenase [EC:1.13.11.4]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K01801	nagL; maleylpyruvate isomerase [EC:5.2.1.4]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K16163	K16163; maleylpyruvate isomerase [EC:5.2.1.4]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K01557	FAHD1; acylpyruvate hydrolase [EC:3.7.1.5]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K16164	K16164; acylpyruvate hydrolase [EC:3.7.1.5]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K16165	nagK; fumarylpyruvate hydrolase [EC:3.7.1.20]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K20758	hbzF; maleylpyruvate hydrolase [EC:3.7.1.23]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K28347	atrA, greA, invA1_2_5; atromentin synthase [EC:6.4.1.10]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K07253	MIF; phenylpyruvate tautomerase [EC:5.3.2.1]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K23109	fldH; aromatic 2-oxoacid reductase [EC:1.1.1.110]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K18606	HPPR; hydroxyphenylpyruvate reductase [EC:1.1.1.237]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K13574	hcxB; hydroxycarboxylate dehydrogenase B [EC:1.1.1.237 1.1.1.-]
Metabolism	Amino acid metabolism	Tyrosine metabolism	K21425	RAS; rosmarinate synthase [EC:2.3.1.140]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K00500	phhA, PAH; phenylalanine-4-hydroxylase [EC:1.14.16.1]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K22328	PAAS; phenylacetaldehyde synthase [EC:4.1.1.109]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K22427	AADC; phenylalanine decarboxylase [EC:4.1.1.53]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K01593	DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K00276	AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K00274	MAO, aofH; monoamine oxidase [EC:1.4.3.4]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K13371	aauA; aralkylamine dehydrogenase light chain [EC:1.4.9.2]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K13372	aauB; aralkylamine dehydrogenase heavy chain [EC:1.4.9.2]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K00129	ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K00146	feaB, tynC; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K01912	paaK; phenylacetate-CoA ligase [EC:6.2.1.30]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K02614	paaI; acyl-CoA thioesterase [EC:3.1.2.-]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K02609	paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K02610	paaB; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K02611	paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K02612	paaD; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K02613	paaE; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K15866	paaG; 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K02618	paaZ; oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase [EC:3.3.2.12 1.2.1.91]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K02615	paaJ; 3-oxo-5,6-didehydrosuberyl-CoA/3-oxoadipyl-CoA thiolase [EC:2.3.1.223 2.3.1.174]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K01692	paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K18361	padB; phenylacetyl-CoA:acceptor oxidoreductase [EC:1.17.5.1 3.1.2.25]
Metabolism	Amino acid metabolism	Phenylalanine metabolism	K18362	padC; phenylacetyl-CoA:acceptor oxidoreductase 27-kDa subunit
